geo,year,unit,leg_stat,citizen,value
Albania,2008,NR,PER_CNV,FOR,
Albania,2008,NR,PER_PRSC,FOR,
Albania,2008,NR,PER_SUSP,FOR,
Albania,2008,P_HTHAB,PER_CNV,FOR,
Albania,2008,P_HTHAB,PER_PRSC,FOR,
Albania,2008,P_HTHAB,PER_SUSP,FOR,
Albania,2009,NR,PER_CNV,FOR,
Albania,2009,NR,PER_PRSC,FOR,
Albania,2009,NR,PER_SUSP,FOR,
Albania,2009,P_HTHAB,PER_CNV,FOR,
Albania,2009,P_HTHAB,PER_PRSC,FOR,
Albania,2009,P_HTHAB,PER_SUSP,FOR,
Albania,2010,NR,PER_CNV,FOR,
Albania,2010,NR,PER_PRSC,FOR,
Albania,2010,NR,PER_SUSP,FOR,
Albania,2010,P_HTHAB,PER_CNV,FOR,
Albania,2010,P_HTHAB,PER_PRSC,FOR,
Albania,2010,P_HTHAB,PER_SUSP,FOR,
Albania,2011,NR,PER_CNV,FOR,
Albania,2011,NR,PER_PRSC,FOR,
Albania,2011,NR,PER_SUSP,FOR,
Albania,2011,P_HTHAB,PER_CNV,FOR,
Albania,2011,P_HTHAB,PER_PRSC,FOR,
Albania,2011,P_HTHAB,PER_SUSP,FOR,
Albania,2012,NR,PER_CNV,FOR,
Albania,2012,NR,PER_PRSC,FOR,
Albania,2012,NR,PER_SUSP,FOR,
Albania,2012,P_HTHAB,PER_CNV,FOR,
Albania,2012,P_HTHAB,PER_PRSC,FOR,
Albania,2012,P_HTHAB,PER_SUSP,FOR,
Albania,2013,NR,PER_CNV,FOR,
Albania,2013,NR,PER_PRSC,FOR,152.0
Albania,2013,NR,PER_SUSP,FOR,
Albania,2013,P_HTHAB,PER_CNV,FOR,
Albania,2013,P_HTHAB,PER_PRSC,FOR,
Albania,2013,P_HTHAB,PER_SUSP,FOR,
Albania,2014,NR,PER_CNV,FOR,
Albania,2014,NR,PER_PRSC,FOR,125.0
Albania,2014,NR,PER_SUSP,FOR,
Albania,2014,P_HTHAB,PER_CNV,FOR,
Albania,2014,P_HTHAB,PER_PRSC,FOR,4.31
Albania,2014,P_HTHAB,PER_SUSP,FOR,
Albania,2015,NR,PER_CNV,FOR,
Albania,2015,NR,PER_PRSC,FOR,162.0
Albania,2015,NR,PER_SUSP,FOR,325.0
Albania,2015,P_HTHAB,PER_CNV,FOR,
Albania,2015,P_HTHAB,PER_PRSC,FOR,5.6
Albania,2015,P_HTHAB,PER_SUSP,FOR,11.26
Albania,2016,NR,PER_CNV,FOR,
Albania,2016,NR,PER_PRSC,FOR,140.0
Albania,2016,NR,PER_SUSP,FOR,486.0
Albania,2016,P_HTHAB,PER_CNV,FOR,
Albania,2016,P_HTHAB,PER_PRSC,FOR,4.87
Albania,2016,P_HTHAB,PER_SUSP,FOR,16.9
Albania,2017,NR,PER_CNV,FOR,
Albania,2017,NR,PER_PRSC,FOR,164.0
Albania,2017,NR,PER_SUSP,FOR,528.0
Albania,2017,P_HTHAB,PER_CNV,FOR,
Albania,2017,P_HTHAB,PER_PRSC,FOR,5.7
Albania,2017,P_HTHAB,PER_SUSP,FOR,18.36
Albania,2018,NR,PER_CNV,FOR,
Albania,2018,NR,PER_PRSC,FOR,241.0
Albania,2018,NR,PER_SUSP,FOR,615.0
Albania,2018,P_HTHAB,PER_CNV,FOR,
Albania,2018,P_HTHAB,PER_PRSC,FOR,8.4
Albania,2018,P_HTHAB,PER_SUSP,FOR,21.43
Albania,2019,NR,PER_CNV,FOR,
Albania,2019,NR,PER_PRSC,FOR,
Albania,2019,NR,PER_SUSP,FOR,616.0
Albania,2019,P_HTHAB,PER_CNV,FOR,
Albania,2019,P_HTHAB,PER_PRSC,FOR,
Albania,2019,P_HTHAB,PER_SUSP,FOR,21.52
Albania,2020,NR,PER_CNV,FOR,
Albania,2020,NR,PER_PRSC,FOR,
Albania,2020,NR,PER_SUSP,FOR,606.0
Albania,2020,P_HTHAB,PER_CNV,FOR,
